# 1:lamst 2:lamfst 3:disk_data_1[0] 4:disk_data_1[1] 5:disk_data_1[0] 6:disk_data_1[1] 7:disk_data_3[0] 8:disk_data_3[1] 
1.956398343517064872e-03 3.595338018657582936e-12 1.635755515871521043e-02 5.818401285961754923e-12 9.437878277775381061e-03 1.922024977098744861e-09 1.740905918080746725e-02 9.751072675161511760e-11
2.072921779595371904e-03 3.038621305648497501e-12 1.679891985867277421e-02 5.768478088442140724e-12 9.771241535346501458e-03 1.859461983266756515e-09 1.786242304332447475e-02 9.687588142045985987e-11
2.196385372416547171e-03 2.567318919943042024e-12 1.725219359983353601e-02 5.713302280155197585e-12 1.011637979766207007e-02 1.794944093657249654e-09 1.832759333315623490e-02 9.604973351682110400e-11
2.327202478960409531e-03 2.168489647158774730e-12 1.771769771569424098e-02 5.653230334736388289e-12 1.047370897959449751e-02 1.728876004594415787e-09 1.880487751134553992e-02 9.504184108300100734e-11
2.465811075822603882e-03 1.831119068613401749e-12 1.819576221007314365e-02 5.588616488124453571e-12 1.084365968689609758e-02 1.661657392640786290e-09 1.929459104578522960e-02 9.386261885894592349e-11
2.612675225563328932e-03 1.545839766055469123e-12 1.868672599105537444e-02 5.519810873135374738e-12 1.122667773510813496e-02 1.593677980826785343e-09 1.979705761973121064e-02 9.252318448542951778e-11
2.768286630392066683e-03 1.304690666216960464e-12 1.919093711125062149e-02 5.447157836516638104e-12 1.162322468679851881e-02 1.525313113295609546e-09 2.031260934574567745e-02 9.103520722706128058e-11
2.933166278390045463e-03 1.100910367874283931e-12 1.970875301453362677e-02 5.370994432895230988e-12 1.203377840777589310e-02 1.456919904810297977e-09 2.084158698521160896e-02 8.940501189779167093e-11
3.107866187782013824e-03 9.287599042101337537e-13 2.024054078944220736e-02 5.291649088995477372e-12 1.245883364295008108e-02 1.388834006801029452e-09 2.138434017356406758e-02 8.765681935374196972e-11
3.292971255097151308e-03 7.833709470665566976e-13 2.078667742941258875e-02 5.209440430846439775e-12 1.289890261253308010e-02 1.321367008419993085e-09 2.194122765138668482e-02 8.579694587255080131e-11
3.489101213406773684e-03 6.606159583935322866e-13 2.134755010003655876e-02 5.124676266387890438e-12 1.335451562929898701e-02 1.254804470199279294e-09 2.251261750152655852e-02 8.383787474204669800e-11
3.696912707195028347e-03 5.569972402829714917e-13 2.192355641352966220e-02 5.037652715872453725e-12 1.382622173764654940e-02 1.189404569912029276e-09 2.309888739238384614e-02 8.179198663320764308e-11
3.917101490809260511e-03 4.695522316735373037e-13 2.251510471060539850e-02 4.948653482696202630e-12 1.431458937523478504e-02 1.125397325427745266e-09 2.370042482753724825e-02 7.967145782277430116e-11
4.150404757850476717e-03 3.957727508041243273e-13 2.312261434995483908e-02 4.857949257711473137e-12 1.482020705798858633e-02 1.062984347834214638e-09 2.431762740187003516e-02 7.748816963717331454e-11
4.397603609302721053e-03 3.335361916723912304e-13 2.374651600553720140e-02 4.765797250618558813e-12 1.534368408930011571e-02 1.002339069803415221e-09 2.495090306436623454e-02 7.525362926505356742e-11
4.659525668664682083e-03 2.810469540342654718e-13 2.438725197189201346e-02 4.672440842632020684e-12 1.588565129428052766e-02 9.436073889045458622e-10 2.560067038775032042e-02 7.297890187552141766e-11
4.937047852839003374e-03 2.367866236774769535e-13 2.504527647768918855e-02 4.578109355206141688e-12 1.644676177994662883e-02 8.869086630119305818e-10 2.626735884514903516e-02 7.067455379687876176e-11
5.231099308056263129e-03 1.994716264531438474e-13 2.572105600773956502e-02 4.483017930121607538e-12 1.702769172225899671e-02 8.323369947531493451e-10 2.695140909395775039e-02 6.835060635668024400e-11
5.542664520663107344e-03 1.680172592581658459e-13 2.641506963369387798e-02 4.387367516627309646e-12 1.762914118095948099e-02 7.799627436949391454e-10 2.765327326709948047e-02 6.601649985775992590e-11
5.872786613189483196e-03 1.415071569704720861e-13 2.712780935366492299e-02 4.291344961552910718e-12 1.825183494319042310e-02 7.298342082652773403e-10 2.837341527186857185e-02 6.368106706542725497e-11
6.222570836730231293e-03 1.191673891187132118e-13 2.785978044101334108e-02 4.195123198328216112e-12 1.889652339691209534e-02 6.819794238688180830e-10 2.911231109655706972e-02 6.135251550664901490e-11
6.593188271333548338e-03 1.003444964141161702e-13 2.861150180254455958e-02 4.098861530647026572e-12 1.956398343517062877e-02 6.364080289074641795e-10 2.987044912506594749e-02 5.903841783070201843e-11
6.985879746785249485e-03 8.448687751596867663e-14 2.938350634637074132e-02 4.002706006095001714e-12 2.025501939230666543e-02 5.931131561466403757e-10 3.064833045970966063e-02 5.674570945021493875e-11
7.401959996915644276e-03 7.112902262277810127e-14 3.017634135969834985e-02 3.906789874437217578e-12 2.097046401323232959e-02 5.520733127951145283e-10 3.144646925242683411e-02 5.448069266928432626e-11
7.842822061337682490e-03 5.987816452284223614e-14 3.099056889680950125e-02 3.811234124460410928e-12 2.171117945694503101e-02 5.132542185639760360e-10 3.226539304461659152e-02 5.224904650895805846e-11
8.309941949353395751e-03 5.040298122855956504e-14 3.182676617751175469e-02 3.716148092330541088e-12 2.247805833548725124e-02 4.766105766587075924e-10 3.310564311582453456e-02 5.005584145736482977e-11
8.804883581643463755e-03 4.242403868906126897e-14 3.268552599633912231e-02 3.621630133410101858e-12 2.327202478960407189e-02 4.420877580013906264e-10 3.396777484150943077e-02 4.790555839974042763e-11
9.329304026284686302e-03 3.570570857833786337e-14 3.356745714279429915e-02 3.527768348442726957e-12 2.409403560239524456e-02 4.096233838827783921e-10 3.485235806012654952e-02 4.580211102032696510e-11
9.884959046625585791e-03 3.004933588420560212e-14 3.447318483292983321e-02 3.434641354018505178e-12 2.494508135230316670e-02 3.791487966462966662e-10 3.575997744977079534e-02 4.374887101150738623e-11
1.047370897959450792e-02 2.528746492836800694e-14 3.540335115257457754e-02 3.342319086346227760e-12 2.582618760682674902e-02 3.505904118774572052e-10 3.669123291462798170e-02 4.174869547371953918e-11
1.109752496412072173e-02 2.127896135483209284e-14 3.635861551251917678e-02 3.250863626638328760e-12 2.673841615839946811e-02 3.238709489066103141e-10 3.764673998149037359e-02 3.980395594098477019e-11
